incorrect,correct,error_type,language,task
"zhvilimit","zhvillimit","missing_letter","sq","albanian_spelling_correction"
"vlefsme","vlefshme","digraph_reduction","sq","albanian_spelling_correction"
"cdo","çdo","missing_diacritic","sq","albanian_spelling_correction"
"prëemër","përemër","letter_transposition","sq","albanian_spelling_correction"
"mësuesa","mësuese","case_ending_error","sq","albanian_spelling_correction"
"kupim","kuptim","missing_letter","sq","albanian_spelling_correction"
"traditave","traditat","case_ending_error","sq","albanian_spelling_correction"
"krorigjoj","korrigjoj","letter_transposition","sq","albanian_spelling_correction"
"radhe","radhën","case_ending_error","sq","albanian_spelling_correction"
"artistika","artistike","case_ending_error","sq","albanian_spelling_correction"
"liggjet","ligjet","extra_letter","sq","albanian_spelling_correction"
"aanlitik","analitik","letter_transposition","sq","albanian_spelling_correction"
"kuptjmë","kuptojmë","missing_letter","sq","albanian_spelling_correction"
"nedrim","nderim","letter_transposition","sq","albanian_spelling_correction"
"dite","ditë","missing_diacritic","sq","albanian_spelling_correction"
"studiojne","studiojnë","case_ending_error","sq","albanian_spelling_correction"
"laboratorit","laboratori","case_ending_error","sq","albanian_spelling_correction"
"theeli","themeli","missing_letter","sq","albanian_spelling_correction"
"ushim","ushqim","missing_letter","sq","albanian_spelling_correction"
"sakner","skaner","letter_transposition","sq","albanian_spelling_correction"
"permbajtur","përmbajtur","missing_diacritic","sq","albanian_spelling_correction"
"nohurive","njohurive","digraph_reduction","sq","albanian_spelling_correction"
"bashkpunim","bashkëpunim","missing_letter","sq","albanian_spelling_correction"
"ton","tonë","case_ending_error","sq","albanian_spelling_correction"
"skollor","shkollor","digraph_reduction","sq","albanian_spelling_correction"
"gofreagi","gofreagji","digraph_reduction","sq","albanian_spelling_correction"
"tregojm","tregojmë","drop_final_vowel","sq","albanian_spelling_correction"
"mentesper","menteksper","missing_letter","sq","albanian_spelling_correction"
"fizzike","fizike","extra_letter","sq","albanian_spelling_correction"
"vleerat","vlerat","extra_letter","sq","albanian_spelling_correction"
"kopst","kopsht","digraph_reduction","sq","albanian_spelling_correction"
"dreton","drejton","missing_letter","sq","albanian_spelling_correction"
"raccional","racional","extra_letter","sq","albanian_spelling_correction"
"sqipe","shqipe","digraph_reduction","sq","albanian_spelling_correction"
"njëijë","njëmijë","missing_letter","sq","albanian_spelling_correction"
"une","unë","missing_diacritic","sq","albanian_spelling_correction"
"firkë","frikë","letter_transposition","sq","albanian_spelling_correction"
"graamatikë","gramatikë","extra_letter","sq","albanian_spelling_correction"
"stëpi","shtëpi","digraph_reduction","sq","albanian_spelling_correction"
"çiell","qiell","c_q_confusion","sq","albanian_spelling_correction"
"mesojmë","mësojmë","missing_diacritic","sq","albanian_spelling_correction"
"karhasoj","krahasoj","letter_transposition","sq","albanian_spelling_correction"
"skencor","shkencor","digraph_reduction","sq","albanian_spelling_correction"
"hisst","hist","extra_letter","sq","albanian_spelling_correction"
"fisstik","fistik","extra_letter","sq","albanian_spelling_correction"
"rurga","rruga","letter_transposition","sq","albanian_spelling_correction"
"kryyesore","kryesore","extra_letter","sq","albanian_spelling_correction"
"katërmbëdhjeta","katërmbëdhjetë","case_ending_error","sq","albanian_spelling_correction"
"përrgatitin","përgatitin","extra_letter","sq","albanian_spelling_correction"
"resspekt","respekt","extra_letter","sq","albanian_spelling_correction"
"ëhstë","është","letter_transposition","sq","albanian_spelling_correction"
"tem","temë","case_ending_error","sq","albanian_spelling_correction"
"pjesëmarrja","pjesëmarrje","case_ending_error","sq","albanian_spelling_correction"
"porjekt","projekt","letter_transposition","sq","albanian_spelling_correction"
"gajkut","gjakut","letter_transposition","sq","albanian_spelling_correction"
"dokkumente","dokumente","extra_letter","sq","albanian_spelling_correction"
"figgurë","figurë","extra_letter","sq","albanian_spelling_correction"
"mqiësia","miqësia","letter_transposition","sq","albanian_spelling_correction"
"ndaajfolje","ndajfolje","extra_letter","sq","albanian_spelling_correction"
"kmounikimit","komunikimit","letter_transposition","sq","albanian_spelling_correction"
"detyr","detyrë","case_ending_error","sq","albanian_spelling_correction"
"përmbledhjë","përmbledhje","case_ending_error","sq","albanian_spelling_correction"
"çeni","qeni","c_q_confusion","sq","albanian_spelling_correction"
"prindëri","prindërit","case_ending_error","sq","albanian_spelling_correction"
"demokraciat","demokracia","case_ending_error","sq","albanian_spelling_correction"
"kalse","klase","letter_transposition","sq","albanian_spelling_correction"
"nënta","nëntë","case_ending_error","sq","albanian_spelling_correction"
"mbimër","mbiemër","missing_letter","sq","albanian_spelling_correction"
"regull","rregull","digraph_reduction","sq","albanian_spelling_correction"
"emërorë","emërore","case_ending_error","sq","albanian_spelling_correction"
"suhmë","shumë","letter_transposition","sq","albanian_spelling_correction"
"tjeëve","tjerëve","missing_letter","sq","albanian_spelling_correction"
"lummturi","lumturi","extra_letter","sq","albanian_spelling_correction"
"grpi","grupi","missing_letter","sq","albanian_spelling_correction"
"skencëtar","shkencëtar","digraph_reduction","sq","albanian_spelling_correction"
"tarnsformim","transformim","letter_transposition","sq","albanian_spelling_correction"
"vleat","vlerat","missing_letter","sq","albanian_spelling_correction"
"lgejislacion","legjislacion","letter_transposition","sq","albanian_spelling_correction"
"shkronje","shkronjë","missing_diacritic","sq","albanian_spelling_correction"
"lira","libra","missing_letter","sq","albanian_spelling_correction"
"dtiën","ditën","letter_transposition","sq","albanian_spelling_correction"
"deilli","dielli","letter_transposition","sq","albanian_spelling_correction"
"tabblet","tablet","extra_letter","sq","albanian_spelling_correction"
"loddhur","lodhur","extra_letter","sq","albanian_spelling_correction"
"dinnak","dinak","extra_letter","sq","albanian_spelling_correction"
"lumit","lumi","case_ending_error","sq","albanian_spelling_correction"
"natyre","natyrën","case_ending_error","sq","albanian_spelling_correction"
"shkëlçen","shkëlqen","c_q_confusion","sq","albanian_spelling_correction"
"akttivitete","aktivitete","extra_letter","sq","albanian_spelling_correction"
"neri","njeri","digraph_reduction","sq","albanian_spelling_correction"
"orëëve","orëve","case_ending_error","sq","albanian_spelling_correction"
"rhuen","ruhen","letter_transposition","sq","albanian_spelling_correction"
"sistemin","sistemi","case_ending_error","sq","albanian_spelling_correction"
"knocert","koncert","letter_transposition","sq","albanian_spelling_correction"
"besushëm","besueshëm","missing_letter","sq","albanian_spelling_correction"
"smhang","shmang","letter_transposition","sq","albanian_spelling_correction"
"karrtil","kartil","extra_letter","sq","albanian_spelling_correction"
"suhmtë","shumtë","letter_transposition","sq","albanian_spelling_correction"
"mens","mensë","case_ending_error","sq","albanian_spelling_correction"
"mëon","mëson","missing_letter","sq","albanian_spelling_correction"
"kujes","kujdes","missing_letter","sq","albanian_spelling_correction"
"ljotar","lojtar","letter_transposition","sq","albanian_spelling_correction"
"riten","rriten","digraph_reduction","sq","albanian_spelling_correction"
"mjedisi","mjedisin","case_ending_error","sq","albanian_spelling_correction"
"klutura","kultura","letter_transposition","sq","albanian_spelling_correction"
"sëmur","sëmurë","drop_final_vowel","sq","albanian_spelling_correction"
"ideentitet","identitet","extra_letter","sq","albanian_spelling_correction"
"mtaematike","matematike","letter_transposition","sq","albanian_spelling_correction"
"tradite","traditë","case_ending_error","sq","albanian_spelling_correction"
"kafsë","kafshë","digraph_reduction","sq","albanian_spelling_correction"
"kkmmioun","kkmmiioun","missing_letter","sq","albanian_spelling_correction"
"kulturat","kultura","case_ending_error","sq","albanian_spelling_correction"
"shtatëmbëdjetë","shtatëmbëdhjetë","digraph_reduction","sq","albanian_spelling_correction"
"nevve","neve","extra_letter","sq","albanian_spelling_correction"
"dege","degë","missing_diacritic","sq","albanian_spelling_correction"
"nëjmijë","njëmijë","letter_transposition","sq","albanian_spelling_correction"
"strrukturuar","strukturuar","extra_letter","sq","albanian_spelling_correction"
"tryez","tryezë","drop_final_vowel","sq","albanian_spelling_correction"
"kërkojme","kërkojmë","case_ending_error","sq","albanian_spelling_correction"
"vlera","vlerat","case_ending_error","sq","albanian_spelling_correction"
"vjeër","vjetër","missing_letter","sq","albanian_spelling_correction"
"orgaizim","organizim","missing_letter","sq","albanian_spelling_correction"
"tridhjete","tridhjetë","missing_diacritic","sq","albanian_spelling_correction"
"verrë","verë","extra_letter","sq","albanian_spelling_correction"
"shfaçje","shfaqje","c_q_confusion","sq","albanian_spelling_correction"
"fajlinë","fjalinë","letter_transposition","sq","albanian_spelling_correction"
"libbër","libër","extra_letter","sq","albanian_spelling_correction"
"regullore","rregullore","digraph_reduction","sq","albanian_spelling_correction"
"staium","stadium","missing_letter","sq","albanian_spelling_correction"
"eskperimenti","eksperimenti","letter_transposition","sq","albanian_spelling_correction"
"mdoerne","moderne","letter_transposition","sq","albanian_spelling_correction"
"emëër","emër","extra_letter","sq","albanian_spelling_correction"
"shkoll","shkollë","case_ending_error","sq","albanian_spelling_correction"
"kryesora","kryesore","case_ending_error","sq","albanian_spelling_correction"
"leid","lleid","digraph_reduction","sq","albanian_spelling_correction"
"shutë","shumtë","missing_letter","sq","albanian_spelling_correction"
"sumës","shumës","digraph_reduction","sq","albanian_spelling_correction"
"eëmrore","emërore","letter_transposition","sq","albanian_spelling_correction"
"zvhillimit","zhvillimit","letter_transposition","sq","albanian_spelling_correction"
"zhvilim","zhvillim","missing_letter","sq","albanian_spelling_correction"
"dymbedhjetë","dymbëdhjetë","missing_diacritic","sq","albanian_spelling_correction"
"fizikë","fizike","case_ending_error","sq","albanian_spelling_correction"
"skholle","shkolle","letter_transposition","sq","albanian_spelling_correction"
"tinull","tingull","missing_letter","sq","albanian_spelling_correction"
"iizmgano","iizmrgano","missing_letter","sq","albanian_spelling_correction"
"teknologjin","teknologji","case_ending_error","sq","albanian_spelling_correction"
"ketuurl","këtuurl","missing_diacritic","sq","albanian_spelling_correction"
"shkkenc","shkenc","extra_letter","sq","albanian_spelling_correction"
"organizojna","organizojnë","case_ending_error","sq","albanian_spelling_correction"
"reciprokë","reciproke","case_ending_error","sq","albanian_spelling_correction"
"msëimit","mësimit","letter_transposition","sq","albanian_spelling_correction"
"shkojme","shkojmë","case_ending_error","sq","albanian_spelling_correction"
"dhanorë","dhanore","case_ending_error","sq","albanian_spelling_correction"
"teknoogji","teknologji","missing_letter","sq","albanian_spelling_correction"
"qetësine","qetësinë","case_ending_error","sq","albanian_spelling_correction"
"llid","lleid","missing_letter","sq","albanian_spelling_correction"
"sofftware","software","extra_letter","sq","albanian_spelling_correction"
"esuem","esuëm","missing_diacritic","sq","albanian_spelling_correction"
"shkrajmë","shkruajmë","missing_letter","sq","albanian_spelling_correction"
"gashtëmbëdhjetë","gjashtëmbëdhjetë","digraph_reduction","sq","albanian_spelling_correction"
"mbrëmjë","mbrëmje","case_ending_error","sq","albanian_spelling_correction"
"pesëmbëdhjet","pesëmbëdhjetë","case_ending_error","sq","albanian_spelling_correction"
"shqipë","shqipe","case_ending_error","sq","albanian_spelling_correction"
"miioanzg","miioranzg","missing_letter","sq","albanian_spelling_correction"
"perdor","përdor","missing_diacritic","sq","albanian_spelling_correction"
"praafjalë","parafjalë","letter_transposition","sq","albanian_spelling_correction"
"viti","vitit","case_ending_error","sq","albanian_spelling_correction"
"jona","jonë","case_ending_error","sq","albanian_spelling_correction"
"shkrmtar","shkrimtar","missing_letter","sq","albanian_spelling_correction"
"organzatë","organizatë","missing_letter","sq","albanian_spelling_correction"
"perrsonal","personal","extra_letter","sq","albanian_spelling_correction"
"kmopleks","kompleks","letter_transposition","sq","albanian_spelling_correction"
"objjektiv","objektiv","extra_letter","sq","albanian_spelling_correction"
"hsitorike","historike","letter_transposition","sq","albanian_spelling_correction"
"shkollë","shkollës","case_ending_error","sq","albanian_spelling_correction"
"fjaliat","fjalia","case_ending_error","sq","albanian_spelling_correction"
"rinat","rina","case_ending_error","sq","albanian_spelling_correction"
"shtëisë","shtëpisë","missing_letter","sq","albanian_spelling_correction"
"thelësor","thelbësor","missing_letter","sq","albanian_spelling_correction"
"zerro","zero","extra_letter","sq","albanian_spelling_correction"
"kupoj","kuptoj","missing_letter","sq","albanian_spelling_correction"
"knëgë","këngë","letter_transposition","sq","albanian_spelling_correction"
"njohurë","njohuri","case_ending_error","sq","albanian_spelling_correction"
"rriet","rritet","missing_letter","sq","albanian_spelling_correction"
"qenit","qeni","case_ending_error","sq","albanian_spelling_correction"
"thjeshta","thjeshtë","case_ending_error","sq","albanian_spelling_correction"
"pallë","palë","extra_letter","sq","albanian_spelling_correction"
"pergjegjësi","përgjegjësi","missing_diacritic","sq","albanian_spelling_correction"
"krëkon","kërkon","letter_transposition","sq","albanian_spelling_correction"
"nëjqind","njëqind","letter_transposition","sq","albanian_spelling_correction"
"gjysi","gjyshi","digraph_reduction","sq","albanian_spelling_correction"
"cytetarët","qytetarët","c_q_confusion","sq","albanian_spelling_correction"
"atjje","atje","extra_letter","sq","albanian_spelling_correction"
"topin","topi","case_ending_error","sq","albanian_spelling_correction"
"tellë","thellë","digraph_reduction","sq","albanian_spelling_correction"
"mejdisin","mjedisin","letter_transposition","sq","albanian_spelling_correction"
"çielli","qielli","c_q_confusion","sq","albanian_spelling_correction"
"sphejtë","shpejtë","letter_transposition","sq","albanian_spelling_correction"
"oobrrin","oborrin","letter_transposition","sq","albanian_spelling_correction"
"mzueun","muzeun","letter_transposition","sq","albanian_spelling_correction"
"barazit","barazi","case_ending_error","sq","albanian_spelling_correction"
"gaztar","gazetar","missing_letter","sq","albanian_spelling_correction"
"mësojma","mësojmë","case_ending_error","sq","albanian_spelling_correction"
"njdenjë","ndjenjë","letter_transposition","sq","albanian_spelling_correction"
"ixnhinieri","inxhinieri","letter_transposition","sq","albanian_spelling_correction"
"eksperimentë","eksperimente","case_ending_error","sq","albanian_spelling_correction"
"maja","macja","missing_letter","sq","albanian_spelling_correction"
"jane","janë","case_ending_error","sq","albanian_spelling_correction"
"jeon","jeton","missing_letter","sq","albanian_spelling_correction"
"harreshëm","hareshëm","extra_letter","sq","albanian_spelling_correction"
"punnon","punon","extra_letter","sq","albanian_spelling_correction"
"lum","lumë","case_ending_error","sq","albanian_spelling_correction"
"historika","historike","case_ending_error","sq","albanian_spelling_correction"
"sottëm","sotëm","extra_letter","sq","albanian_spelling_correction"
"haresëm","hareshëm","digraph_reduction","sq","albanian_spelling_correction"
"punnojnë","punojnë","extra_letter","sq","albanian_spelling_correction"
"ndëërtesa","ndërtesa","extra_letter","sq","albanian_spelling_correction"
"gjith","gjithë","case_ending_error","sq","albanian_spelling_correction"
"inxhiieri","inxhinieri","missing_letter","sq","albanian_spelling_correction"
"satdium","stadium","letter_transposition","sq","albanian_spelling_correction"
"sjelshëm","sjellshëm","missing_letter","sq","albanian_spelling_correction"
"basku","bashku","digraph_reduction","sq","albanian_spelling_correction"
"mëssim","mësim","extra_letter","sq","albanian_spelling_correction"
"tokkën","tokën","extra_letter","sq","albanian_spelling_correction"
"projekta","projektë","case_ending_error","sq","albanian_spelling_correction"
"soffistikuar","sofistikuar","extra_letter","sq","albanian_spelling_correction"
"idkkcmraeo","idkcmraeo","extra_letter","sq","albanian_spelling_correction"
"qevveri","qeveri","extra_letter","sq","albanian_spelling_correction"
"procedurve","procedurave","case_ending_error","sq","albanian_spelling_correction"
"tërsia","tërësia","missing_letter","sq","albanian_spelling_correction"
"shtata","shtatë","case_ending_error","sq","albanian_spelling_correction"
"tregojma","tregojmë","case_ending_error","sq","albanian_spelling_correction"
"tejlo","tëjlo","missing_diacritic","sq","albanian_spelling_correction"
"sqhiptar","shqiptar","letter_transposition","sq","albanian_spelling_correction"
"shkollorë","shkollore","case_ending_error","sq","albanian_spelling_correction"
"tane","tanë","case_ending_error","sq","albanian_spelling_correction"
"kujjdesen","kujdesen","extra_letter","sq","albanian_spelling_correction"
"kommbëtare","kombëtare","extra_letter","sq","albanian_spelling_correction"
"njërit","njëri","case_ending_error","sq","albanian_spelling_correction"
"mikrfon","mikrofon","missing_letter","sq","albanian_spelling_correction"
"kposht","kopsht","letter_transposition","sq","albanian_spelling_correction"
"mësesi","mësuesi","missing_letter","sq","albanian_spelling_correction"
"ndihme","ndihmë","case_ending_error","sq","albanian_spelling_correction"
"qall","qaell","missing_letter","sq","albanian_spelling_correction"
"pemë","pema","case_ending_error","sq","albanian_spelling_correction"
"qnëdruar","qëndruar","letter_transposition","sq","albanian_spelling_correction"
"pershkrim","përshkrim","missing_diacritic","sq","albanian_spelling_correction"
"basshku","bashku","extra_letter","sq","albanian_spelling_correction"
"detrën","detyrën","missing_letter","sq","albanian_spelling_correction"
"trembëhjetë","trembëdhjetë","missing_letter","sq","albanian_spelling_correction"
"emer","emër","missing_diacritic","sq","albanian_spelling_correction"
"dittë","ditë","extra_letter","sq","albanian_spelling_correction"
"tërësië","tërësia","case_ending_error","sq","albanian_spelling_correction"
"maddsh","madsh","extra_letter","sq","albanian_spelling_correction"
"ejlfam","ejlifam","missing_letter","sq","albanian_spelling_correction"
"planiikuar","planifikuar","missing_letter","sq","albanian_spelling_correction"
"pesku","peshku","missing_letter","sq","albanian_spelling_correction"
"shkojm","shkojmë","case_ending_error","sq","albanian_spelling_correction"
"passtaj","pastaj","extra_letter","sq","albanian_spelling_correction"
"mennt","ment","extra_letter","sq","albanian_spelling_correction"
"lerrt","lert","extra_letter","sq","albanian_spelling_correction"
"tmraskr","tmrahskr","missing_letter","sq","albanian_spelling_correction"
"qanta","çanta","c_q_confusion","sq","albanian_spelling_correction"
"vjerta","vjetrta","missing_letter","sq","albanian_spelling_correction"
"treegojmë","tregojmë","extra_letter","sq","albanian_spelling_correction"
"bbaës","bbaa","case_ending_error","sq","albanian_spelling_correction"
"faqë","faqe","case_ending_error","sq","albanian_spelling_correction"
"nxenës","nxënës","missing_diacritic","sq","albanian_spelling_correction"
"mattematike","matematike","extra_letter","sq","albanian_spelling_correction"
"rreull","rregull","missing_letter","sq","albanian_spelling_correction"
"tike","tikë","case_ending_error","sq","albanian_spelling_correction"
"parës","para","case_ending_error","sq","albanian_spelling_correction"
"prëshkrim","përshkrim","letter_transposition","sq","albanian_spelling_correction"
"oborin","oborrin","missing_letter","sq","albanian_spelling_correction"
"albbum","album","extra_letter","sq","albanian_spelling_correction"
"lratë","lartë","letter_transposition","sq","albanian_spelling_correction"
"bëhhen","bëhen","extra_letter","sq","albanian_spelling_correction"
"lxeuar","lexuar","letter_transposition","sq","albanian_spelling_correction"
"frika","frikë","case_ending_error","sq","albanian_spelling_correction"
"vetem","vetëm","missing_diacritic","sq","albanian_spelling_correction"
"çaell","qaell","c_q_confusion","sq","albanian_spelling_correction"
"fluturë","flutura","case_ending_error","sq","albanian_spelling_correction"
"hisor","histor","missing_letter","sq","albanian_spelling_correction"
"fmëijë","fëmijë","letter_transposition","sq","albanian_spelling_correction"
"nëntëmbëdjetë","nëntëmbëdhjetë","digraph_reduction","sq","albanian_spelling_correction"
"perzantojmë","prezantojmë","letter_transposition","sq","albanian_spelling_correction"
"lxeoj","lexoj","letter_transposition","sq","albanian_spelling_correction"
"vazhduesme","vazhdueshme","digraph_reduction","sq","albanian_spelling_correction"
"gejmë","gjejmë","digraph_reduction","sq","albanian_spelling_correction"
"ndoodhur","ndodhur","extra_letter","sq","albanian_spelling_correction"
"rregulave","rregullave","missing_letter","sq","albanian_spelling_correction"
"mëssoj","mësoj","extra_letter","sq","albanian_spelling_correction"
"mtaar","mtar","extra_letter","sq","albanian_spelling_correction"
"ngadalte","ngadaltë","case_ending_error","sq","albanian_spelling_correction"
"rveistë","revistë","letter_transposition","sq","albanian_spelling_correction"
"nerëzit","njerëzit","digraph_reduction","sq","albanian_spelling_correction"
"familjë","familja","case_ending_error","sq","albanian_spelling_correction"
"kitenoolgj","ktienoolgj","letter_transposition","sq","albanian_spelling_correction"
"klalëzore","kallëzore","letter_transposition","sq","albanian_spelling_correction"
"kputim","kuptim","letter_transposition","sq","albanian_spelling_correction"
"modderne","moderne","extra_letter","sq","albanian_spelling_correction"
"prokt","proekt","missing_letter","sq","albanian_spelling_correction"
"nëqind","njëqind","digraph_reduction","sq","albanian_spelling_correction"
"mcaja","macja","letter_transposition","sq","albanian_spelling_correction"
"graphit","graphi","case_ending_error","sq","albanian_spelling_correction"
"rreegullat","rregullat","extra_letter","sq","albanian_spelling_correction"
"cliësor","cilësor","letter_transposition","sq","albanian_spelling_correction"
"de","dhe","digraph_reduction","sq","albanian_spelling_correction"
"sisteatik","sistematik","missing_letter","sq","albanian_spelling_correction"
"nejrëzit","njerëzit","letter_transposition","sq","albanian_spelling_correction"
"gjuhë","gjuha","case_ending_error","sq","albanian_spelling_correction"
"priinter","printer","extra_letter","sq","albanian_spelling_correction"
"mads","madsh","digraph_reduction","sq","albanian_spelling_correction"
"rralibë","rralibi","case_ending_error","sq","albanian_spelling_correction"
"përkatësis","përkatësisë","drop_final_vowel","sq","albanian_spelling_correction"
"serrial","serial","extra_letter","sq","albanian_spelling_correction"
"knotinentet","kontinentet","letter_transposition","sq","albanian_spelling_correction"
"miqësië","miqësia","case_ending_error","sq","albanian_spelling_correction"
"ojbektiv","objektiv","letter_transposition","sq","albanian_spelling_correction"
"shkkencëtar","shkencëtar","extra_letter","sq","albanian_spelling_correction"
"skhollës","shkollës","letter_transposition","sq","albanian_spelling_correction"
"dikkush","dikush","extra_letter","sq","albanian_spelling_correction"
"aftëive","aftësive","missing_letter","sq","albanian_spelling_correction"
"arttistike","artistike","extra_letter","sq","albanian_spelling_correction"
"ngjyrës","ngjyra","case_ending_error","sq","albanian_spelling_correction"
"fajlën","fjalën","letter_transposition","sq","albanian_spelling_correction"
"skhruhen","shkruhen","letter_transposition","sq","albanian_spelling_correction"
"artefakta","artefakte","case_ending_error","sq","albanian_spelling_correction"
"tema","temë","case_ending_error","sq","albanian_spelling_correction"
"zyr","zyrë","case_ending_error","sq","albanian_spelling_correction"
"graam","gram","extra_letter","sq","albanian_spelling_correction"
"përshrimi","përshkrimi","missing_letter","sq","albanian_spelling_correction"
"iedntitet","identitet","letter_transposition","sq","albanian_spelling_correction"
"liber","libër","missing_diacritic","sq","albanian_spelling_correction"
"matemtike","matematike","missing_letter","sq","albanian_spelling_correction"
"vizziton","viziton","extra_letter","sq","albanian_spelling_correction"
"sloidaritet","solidaritet","letter_transposition","sq","albanian_spelling_correction"
"mbajne","mbajnë","missing_diacritic","sq","albanian_spelling_correction"
"esuuëm","esuëm","extra_letter","sq","albanian_spelling_correction"
"bëen","bëhen","missing_letter","sq","albanian_spelling_correction"
"shkkoj","shkoj","extra_letter","sq","albanian_spelling_correction"
"kmounitet","komunitet","letter_transposition","sq","albanian_spelling_correction"
"loje","lojë","missing_diacritic","sq","albanian_spelling_correction"
"orggan","organ","extra_letter","sq","albanian_spelling_correction"
"miqësiat","miqësia","case_ending_error","sq","albanian_spelling_correction"
"gazzetar","gazetar","extra_letter","sq","albanian_spelling_correction"
"iikkkummno","iikkummno","extra_letter","sq","albanian_spelling_correction"
"shkkolle","shkolle","extra_letter","sq","albanian_spelling_correction"
"projkti","projekti","missing_letter","sq","albanian_spelling_correction"
"përgigje","përgjigje","missing_letter","sq","albanian_spelling_correction"
"mbëstetjes","mbështetjes","digraph_reduction","sq","albanian_spelling_correction"
"titraë","titdraë","missing_letter","sq","albanian_spelling_correction"
"baskë","bashkë","missing_letter","sq","albanian_spelling_correction"
"kmaerë","kamerë","letter_transposition","sq","albanian_spelling_correction"
"shet","shtet","missing_letter","sq","albanian_spelling_correction"
"skhencor","shkencor","letter_transposition","sq","albanian_spelling_correction"
"tkenologji","teknologji","letter_transposition","sq","albanian_spelling_correction"
"ogranizon","organizon","letter_transposition","sq","albanian_spelling_correction"
"dere","derë","case_ending_error","sq","albanian_spelling_correction"
"pesëmbëdhjet","pesëmbëdhjetë","drop_final_vowel","sq","albanian_spelling_correction"
"veen","veten","missing_letter","sq","albanian_spelling_correction"
"tëpërshëndetja","tëpërshëndetje","case_ending_error","sq","albanian_spelling_correction"
"tavolin","tavolinë","case_ending_error","sq","albanian_spelling_correction"
"hipokrin","hipokrit","case_ending_error","sq","albanian_spelling_correction"
"lgijet","ligjet","letter_transposition","sq","albanian_spelling_correction"
"ndeim","nderim","missing_letter","sq","albanian_spelling_correction"
"eksperimenta","eksperimente","case_ending_error","sq","albanian_spelling_correction"
"kmiieoracd","kmieoracd","extra_letter","sq","albanian_spelling_correction"
"ejllifam","ejlifam","extra_letter","sq","albanian_spelling_correction"
"telfon","telefon","missing_letter","sq","albanian_spelling_correction"
"organizojne","organizojnë","case_ending_error","sq","albanian_spelling_correction"
"epmmap","epmap","extra_letter","sq","albanian_spelling_correction"
"gjashtëmëdhjetë","gjashtëmbëdhjetë","missing_letter","sq","albanian_spelling_correction"
"fhsat","fshat","letter_transposition","sq","albanian_spelling_correction"
"fjla","fjala","missing_letter","sq","albanian_spelling_correction"
"dniak","dinak","letter_transposition","sq","albanian_spelling_correction"
"menqur","mençur","c_q_confusion","sq","albanian_spelling_correction"
"kmounikimin","komunikimin","letter_transposition","sq","albanian_spelling_correction"
"perbashkët","përbashkët","missing_diacritic","sq","albanian_spelling_correction"
"nëmbëdhjetë","njëmbëdhjetë","digraph_reduction","sq","albanian_spelling_correction"
"tristim","trishtim","digraph_reduction","sq","albanian_spelling_correction"
"nohuri","njohuri","digraph_reduction","sq","albanian_spelling_correction"
"porjektë","projektë","letter_transposition","sq","albanian_spelling_correction"
"ppoullit","popullit","letter_transposition","sq","albanian_spelling_correction"
"barzi","barazi","missing_letter","sq","albanian_spelling_correction"
"fletorë","fletore","case_ending_error","sq","albanian_spelling_correction"
"kafse","kafshe","digraph_reduction","sq","albanian_spelling_correction"
"presoni","personi","letter_transposition","sq","albanian_spelling_correction"
"vëmmendje","vëmendje","extra_letter","sq","albanian_spelling_correction"
"lajjm","lajm","extra_letter","sq","albanian_spelling_correction"
"njerin","njeri","case_ending_error","sq","albanian_spelling_correction"
"sjellsëm","sjellshëm","digraph_reduction","sq","albanian_spelling_correction"
"mesuam","mësuam","missing_diacritic","sq","albanian_spelling_correction"
"shumë","shumës","case_ending_error","sq","albanian_spelling_correction"
"librarin","librari","case_ending_error","sq","albanian_spelling_correction"
"lume","lumë","case_ending_error","sq","albanian_spelling_correction"
"vnedore","vendore","letter_transposition","sq","albanian_spelling_correction"
"klsa","klasa","missing_letter","sq","albanian_spelling_correction"
"nëne","nënë","case_ending_error","sq","albanian_spelling_correction"
"mëoj","mësoj","missing_letter","sq","albanian_spelling_correction"
"tëlo","tëjlo","missing_letter","sq","albanian_spelling_correction"
"nënntëmbëdhjetë","nëntëmbëdhjetë","extra_letter","sq","albanian_spelling_correction"
"artitike","artistike","missing_letter","sq","albanian_spelling_correction"
"ulmi","ulemi","missing_letter","sq","albanian_spelling_correction"
"gajshtëmbëdhjetë","gjashtëmbëdhjetë","letter_transposition","sq","albanian_spelling_correction"
"gëzar","gëzuar","missing_letter","sq","albanian_spelling_correction"
"sfoistikuar","sofistikuar","letter_transposition","sq","albanian_spelling_correction"
"projektit","projektin","case_ending_error","sq","albanian_spelling_correction"
"kkmmmiioun","kkmmiioun","extra_letter","sq","albanian_spelling_correction"
"mblihen","mblidhen","missing_letter","sq","albanian_spelling_correction"
"traansformim","transformim","extra_letter","sq","albanian_spelling_correction"
"lëshko","llëshko","digraph_reduction","sq","albanian_spelling_correction"
"mri","mrië","case_ending_error","sq","albanian_spelling_correction"
"venndimmarrëse","vendimmarrëse","extra_letter","sq","albanian_spelling_correction"
"dike","dikë","missing_diacritic","sq","albanian_spelling_correction"
"përgjigjë","përgjigje","case_ending_error","sq","albanian_spelling_correction"
"intenet","internet","missing_letter","sq","albanian_spelling_correction"
"shkencora","shkencore","case_ending_error","sq","albanian_spelling_correction"
"thell","thellë","case_ending_error","sq","albanian_spelling_correction"
"kuc","kuq","c_q_confusion","sq","albanian_spelling_correction"
"klasa","klase","case_ending_error","sq","albanian_spelling_correction"
